,date,code,weight
13,2015-03-31,601388.SH,0.0324485050821648
14,2015-03-31,000780.SZ,0.040349367040094654
0,2015-04-30,000926.SZ,0.06800540447482455
1,2015-04-30,600325.SH,0.08786429726360594
2,2015-04-30,000886.SZ,0.045118023003973814
3,2015-04-30,000572.SZ,0.08387376002457735
4,2015-04-30,002574.SZ,0.04828010014132544
5,2015-04-30,002244.SZ,0.12797998711373296
6,2015-04-30,000809.SZ,0.04540475898198781
7,2015-04-30,601566.SH,0.07046004132755632
8,2015-04-30,000422.SZ,0.047687152299272464
9,2015-04-30,603366.SH,0.0575988046800601
10,2015-04-30,600657.SH,0.08502175185074654
11,2015-04-30,000900.SZ,0.05941619042115924
12,2015-04-30,002238.SZ,0.05752789835335492
13,2015-04-30,000780.SZ,0.04870741336929402
14,2015-04-30,600284.SH,0.06705441669452873
0,2015-05-29,000926.SZ,0.06057205035624251
1,2015-05-29,600325.SH,0.06704313494779288
2,2015-05-29,000780.SZ,0.04329060537118749
3,2015-05-29,000809.SZ,0.040532632031937466
4,2015-05-29,600284.SH,0.06088571464258993
5,2015-05-29,600743.SH,0.06681060103703029
6,2015-05-29,600162.SH,0.03951072844614033
7,2015-05-29,600239.SH,0.0453752935928838
8,2015-05-29,000877.SZ,0.050754027072241664
9,2015-05-29,000886.SZ,0.037639280705936896
10,2015-05-29,600823.SH,0.11574804695775553
11,2015-05-29,000961.SZ,0.12461480766075118
12,2015-05-29,000631.SZ,0.057522904230522004
13,2015-05-29,000951.SZ,0.04270632883761927
14,2015-05-29,600266.SH,0.1469938441093688
0,2015-06-30,000926.SZ,0.06263992959173358
1,2015-06-30,600748.SH,0.09546998759642401
2,2015-06-30,600064.SH,0.08284265445432785
3,2015-06-30,603369.SH,0.09900571033259568
4,2015-06-30,600284.SH,0.05891365170239962
5,2015-06-30,000631.SZ,0.05871528012743144
6,2015-06-30,600199.SH,0.03837212494124252
7,2015-06-30,000735.SZ,0.03958415704754649
8,2015-06-30,600649.SH,0.13333336188745765
9,2015-06-30,000780.SZ,0.045076391813742914
10,2015-06-30,000090.SZ,0.0633208439631159
11,2015-06-30,002011.SZ,0.057310035959865266
12,2015-06-30,600657.SH,0.05880815556075568
13,2015-06-30,000422.SZ,0.03880147809904305
14,2015-06-30,000616.SZ,0.06780623692231848
0,2015-07-31,000926.SZ,0.06794843409304134
1,2015-07-31,600748.SH,0.09978452578927048
2,2015-07-31,000780.SZ,0.0474216764063269
3,2015-07-31,600325.SH,0.08801722234700825
4,2015-07-31,600284.SH,0.06574545421124793
5,2015-07-31,600657.SH,0.0736074344078663
6,2015-07-31,600971.SH,0.04453659885404341
7,2015-07-31,603366.SH,0.05781577877159527
8,2015-07-31,600736.SH,0.06885239386094533
9,2015-07-31,000422.SZ,0.04666755158161273
10,2015-07-31,600510.SH,0.05657919257506039
11,2015-07-31,600397.SH,0.04071276098342405
12,2015-07-31,600743.SH,0.07210605966640496
13,2015-07-31,002646.SZ,0.07034398232207108
14,2015-07-31,603369.SH,0.09986093413008162
0,2015-08-31,600790.SH,0.07495637082311492
1,2015-08-31,002011.SZ,0.07428798974685838
2,2015-08-31,600199.SH,0.04053400349494638
3,2015-08-31,000612.SZ,0.06253390532587974
4,2015-08-31,000962.SZ,0.036284043654750624
5,2015-08-31,600702.SH,0.04087270796867573
6,2015-08-31,000422.SZ,0.05097595937785488
7,2015-08-31,000926.SZ,0.056409283010656903
8,2015-08-31,000933.SZ,0.0696950561985022
9,2015-08-31,600284.SH,0.06819029610687935
10,2015-08-31,600657.SH,0.07422225891299955
11,2015-08-31,000090.SZ,0.06297576640597166
12,2015-08-31,000937.SZ,0.1402877396950996
13,2015-08-31,600325.SH,0.0746589474640918
14,2015-08-31,600859.SH,0.07311567181371834
0,2015-09-30,600790.SH,0.05851840458786896
1,2015-09-30,000616.SZ,0.07254437399835739
2,2015-09-30,000877.SZ,0.04743955865612745
3,2015-09-30,600702.SH,0.0329070029050644
4,2015-09-30,603369.SH,0.09388983759826468
5,2015-09-30,600059.SH,0.05063373335744738
6,2015-09-30,000983.SZ,0.12021909425594166
7,2015-09-30,601666.SH,0.07299134600273985
8,2015-09-30,600064.SH,0.08575109989011494
9,2015-09-30,600132.SH,0.044196647404628135
10,2015-09-30,000422.SZ,0.03885621725263725
11,2015-09-30,000612.SZ,0.045615127144570396
12,2015-09-30,000937.SZ,0.11919380363341918
13,2015-09-30,600859.SH,0.06765663468042311
14,2015-09-30,000926.SZ,0.04958711863239515
0,2015-10-30,000983.SZ,0.12624457890785412
1,2015-10-30,000926.SZ,0.06210256719291581
2,2015-10-30,600284.SH,0.06356889648414757
3,2015-10-30,600971.SH,0.040810527250584816
4,2015-10-30,603369.SH,0.09458889035570452
5,2015-10-30,600657.SH,0.06266836163904066
6,2015-10-30,600199.SH,0.03196797864935172
7,2015-10-30,600141.SH,0.042780642010871006
8,2015-10-30,000937.SZ,0.11255076130377611
9,2015-10-30,601101.SH,0.05087032460867755
10,2015-10-30,600702.SH,0.031963382000787306
11,2015-10-30,000552.SZ,0.0592742626995385
12,2015-10-30,002574.SZ,0.047008315479640746
13,2015-10-30,600859.SH,0.06545574049305973
14,2015-10-30,601699.SH,0.10814477092404975
0,2015-11-30,600971.SH,0.042380652207012426
1,2015-11-30,600859.SH,0.0758422355296636
2,2015-11-30,000422.SZ,0.04467354707603651
3,2015-11-30,600284.SH,0.061351914662028884
4,2015-11-30,000983.SZ,0.12719704511424273
5,2015-11-30,600657.SH,0.06822143764977638
6,2015-11-30,600348.SH,0.10661787640295625
7,2015-11-30,600199.SH,0.03344528968108772
8,2015-11-30,000860.SZ,0.06557902603047806
9,2015-11-30,000900.SZ,0.052981732286204175
10,2015-11-30,600809.SH,0.09351890263639798
11,2015-11-30,000612.SZ,0.0518226631471158
12,2015-11-30,600141.SH,0.043758930415027965
13,2015-11-30,600801.SH,0.07214239630237818
14,2015-11-30,000501.SZ,0.060466350859593294
0,2015-12-31,600284.SH,0.06177825080998812
1,2015-12-31,000616.SZ,0.06999838216878007
2,2015-12-31,000937.SZ,0.10860728224313636
3,2015-12-31,600657.SH,0.0622079978370336
4,2015-12-31,600348.SH,0.0912035433942383
5,2015-12-31,000667.SZ,0.07155393097033155
6,2015-12-31,000900.SZ,0.047567200838798854
7,2015-12-31,600801.SH,0.06825324078651755
8,2015-12-31,600971.SH,0.03487955087358392
9,2015-12-31,000877.SZ,0.03873009694970976
10,2015-12-31,000528.SZ,0.05069078615019369
11,2015-12-31,000983.SZ,0.10194801206227763
12,2015-12-31,600790.SH,0.0451578265869973
